,feature,importance
14,GrLivArea,0.0617953787932
26,OpenPorchSF,0.0573099640531
10,TotalBsmtSF,0.0543815409471
12,2ndFlrSF,0.0495765494705
6,MasVnrArea,0.0492887596571
11,1stFlrSF,0.0488786141157
27,EnclosedPorch,0.0477170843512
25,WoodDeckSF,0.0408992616372
1,LotArea,0.0400338952879
24,GarageArea,0.0365870361868
7,BsmtFinSF1,0.0361555627976
0,LotFrontage,0.0324368741912
9,BsmtUnfSF,0.0277442267147
4,YearBuilt,0.0214485412675
29,ScreenPorch,0.0191005260195
